UMUR,PEKERJAAN,STATUS_PERKAWINAN,PENDIDIKAN,KREDIT_RUMAH,PINJAMAN,MENGHUBUNGI_DENGAN,LAMA_BICARA,JUMLAH_KONTAK_SEKARANG,JUMLAH_KONTAK_SEBELUMNYA,HASIL_SEBELUMNYA,DEPOSITO
37,wiraswasta,menikah,lulus universitas,tidak,tidak ada,telepon rumah,202,2,1,gagal,belum
34,administrasi,lajang,lulus universitas,tidak,ada,HP,288,2,1,sukses,sukses
55,pengangguran,cerai,lulus universitas,tidak,tidak ada,HP,212,3,3,sukses,sukses
33,buruh,lajang,tidak lulus SD,ya,tidak ada,HP,146,1,1,gagal,belum
46,administrasi,lajang,lulus universitas,ya,tidak ada,HP,1166,3,1,gagal,belum
44,freelance,cerai,lulus diploma,ya,ada,HP,134,1,1,gagal,belum
34,buruh,menikah,lulus SMP,ya,tidak ada,HP,70,1,1,gagal,belum
41,teknisi,cerai,lulus diploma,tidak,tidak ada,HP,774,2,1,gagal,sukses
46,freelance,menikah,tidak lulus SD,ya,ada,HP,162,1,1,gagal,belum
35,buruh,menikah,lulus SMP,tidak,tidak ada,HP,211,1,1,gagal,belum
32,teknisi,lajang,lulus diploma,ya,ada,HP,230,1,1,gagal,belum
30,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,67,1,1,gagal,belum
40,administrasi,lajang,lulus SMA,ya,tidak ada,HP,154,1,1,gagal,belum
36,administrasi,menikah,lulus SMA,ya,ada,HP,264,1,1,sukses,belum
27,pengangguran,lajang,lulus SMP,tidak,tidak ada,HP,48,2,1,gagal,belum
50,wiraswasta,menikah,lulus SMA,ya,ada,HP,1326,6,1,gagal,belum
30,administrasi,lajang,lulus SMA,ya,tidak ada,HP,29,8,1,gagal,belum
34,administrasi,menikah,lulus universitas,ya,tidak ada,HP,407,3,3,gagal,sukses
59,teknisi,menikah,lulus universitas,tidak,tidak ada,HP,268,1,1,gagal,belum
53,administrasi,lajang,lulus universitas,ya,tidak ada,HP,304,2,1,sukses,sukses
51,administrasi,cerai,lulus SMA,ya,ada,HP,334,2,4,gagal,sukses
34,administrasi,cerai,lulus universitas,ya,tidak ada,telepon rumah,332,3,1,gagal,sukses
27,karyawan,lajang,lulus universitas,ya,tidak ada,HP,137,2,2,sukses,belum
31,teknisi,lajang,lulus SMA,ya,tidak ada,HP,596,1,1,gagal,belum
40,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,246,4,1,gagal,belum
35,administrasi,cerai,lulus SMA,ya,tidak ada,HP,88,1,1,gagal,belum
37,wiraswasta,menikah,lulus SMP,tidak,tidak ada,HP,277,1,1,sukses,belum
33,administrasi,lajang,lulus SMA,ya,tidak ada,HP,61,2,2,gagal,belum
38,administrasi,menikah,lulus SMA,ya,tidak ada,HP,6,5,1,gagal,belum
38,buruh,menikah,lulus SMP,ya,tidak ada,HP,276,1,1,gagal,belum
30,pengangguran,menikah,lulus SMA,tidak,tidak ada,HP,417,1,1,sukses,sukses
